"year"	"exp"	"block"	"fence"	"plot"	"treatment"	"subsidence"	"ALT"	"ALT.corrected"	"geometry"
2011	"DryPEHR"	"b"	4	"d"	"Drying + Warming"	0	-57.8	-57.8	c(538007.697015119, 1101131.65693197)
2011	"DryPEHR"	"c"	5	"a"	"Control"	0	-49.7	-49.7	c(538121.243627226, 1101027.11613051)
2011	"DryPEHR"	"c"	5	"b"	"Drying"	0	-48.3	-48.3	c(538128.004359379, 1101025.021897)
2011	"DryPEHR"	"c"	5	"c"	"Warming"	0	-50.6	-50.6	c(538115.314418499, 1101045.41962533)
2011	"DryPEHR"	"c"	5	"d"	"Drying + Warming"	0	-52.6	-52.6	c(538118.182661611, 1101047.18678046)
2011	"DryPEHR"	"c"	6	"a"	"Control"	0	-57.7	-57.7	c(538131.96726414, 1101034.64109664)
2011	"DryPEHR"	"c"	6	"b"	"Drying"	0	-54.8	-54.8	c(538136.508622195, 1101031.74292909)
2011	"DryPEHR"	"c"	6	"c"	"Warming"	0	-49.8	-49.8	c(538124.854156399, 1101051.21633866)
2011	"DryPEHR"	"c"	6	"d"	"Drying + Warming"	0	-61.3	-61.3	c(538126.839083497, 1101052.65010256)
2012	"CiPEHR"	"a"	1	"1"	"Air Warming"	0.0296630859375	-61	-58.03369140625	c(537945.061181286, 1100974.61034372)
2012	"CiPEHR"	"a"	1	"2"	"Control"	0.01434326171875	-59.3	-57.865673828125	c(537941.929348974, 1100973.86823061)
2012	"CiPEHR"	"a"	1	"3"	"Air Warming"	0.06854248046875	-65	-58.145751953125	c(537943.972994247, 1100971.12857398)
2012	"CiPEHR"	"a"	1	"4"	"Control"	0.09515380859375	-68.3	-58.784619140625	c(537946.01920041, 1100973.05621906)
2012	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	-0.10723876953125	-70	-80.723876953125	c(537937.519279393, 1100984.41905301)
2012	"CiPEHR"	"a"	1	"6"	"Soil Warming"	-0.04144287109375	-79	-83.144287109375	c(537940.038294997, 1100986.68937608)
2012	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	-0.08074951171875	-76	-84.074951171875	c(537939.777848489, 1100988.59489566)
2012	"CiPEHR"	"a"	1	"8"	"Soil Warming"	-0.0889892578125	-83.3	-92.19892578125	c(537934.397313723, 1100985.82019829)
2012	"CiPEHR"	"a"	2	"1"	"Air Warming"	0.06329345703125	-58.7	-52.370654296875	c(537955.754577999, 1100981.00632174)
2012	"CiPEHR"	"a"	2	"2"	"Control"	0.0660400390625	-60.7	-54.09599609375	c(537950.650111753, 1100980.40484843)
2012	"CiPEHR"	"a"	2	"3"	"Air Warming"	0.05029296875	-63	-57.970703125	c(537952.547265501, 1100977.13753647)
2012	"CiPEHR"	"a"	2	"4"	"Control"	0.05804443359375	-66	-60.195556640625	c(537954.089235183, 1100978.60908617)
2012	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	-0.056640625	-78.7	-84.3640625	c(537948.749497949, 1100991.02155357)
2012	"CiPEHR"	"a"	2	"6"	"Soil Warming"	-0.1080322265625	-80.3	-91.10322265625	c(537951.036506826, 1100992.99910862)
2012	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	-0.1429443359375	-72.7	-86.99443359375	c(537950.525723053, 1100994.79675347)
2012	"CiPEHR"	"a"	2	"8"	"Soil Warming"	-0.10577392578125	-75.3	-85.877392578125	c(537946.957231526, 1100993.20512038)
2012	"CiPEHR"	"b"	3	"1"	"Air Warming"	-0.073486328125	-63.7	-71.0486328125	c(538005.299268935, 1101105.21851765)
2012	"CiPEHR"	"b"	3	"2"	"Control"	0.04107666015625	-57.3	-53.192333984375	c(538003.050355101, 1101103.56471526)
2012	"CiPEHR"	"b"	3	"3"	"Air Warming"	0.10308837890625	-65.7	-55.391162109375	c(538004.461150603, 1101101.89084927)
2012	"CiPEHR"	"b"	3	"4"	"Control"	0.0220947265625	-63.3	-61.09052734375	c(538006.442928634, 1101103.70735623)
2012	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	-0.05731201171875	-73.7	-79.431201171875	c(537998.353493803, 1101115.58373368)
2012	"CiPEHR"	"b"	3	"6"	"Soil Warming"	-0.04193115234375	-68	-72.193115234375	c(538000.689857765, 1101117.20427668)
2012	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	-0.04193115234375	-62.7	-66.893115234375	c(537999.18546028, 1101118.87000626)
2012	"CiPEHR"	"b"	3	"8"	"Soil Warming"	-0.02593994140625	-70	-72.593994140625	c(537996.682438232, 1101118.08261855)
2012	"CiPEHR"	"b"	4	"1"	"Air Warming"	-0.1241455078125	-64	-76.41455078125	c(538013.765519635, 1101118.29601026)
2012	"CiPEHR"	"b"	4	"2"	"Control"	0.0078125	-67.3	-66.51875	c(538010.139106492, 1101115.89741201)
2012	"CiPEHR"	"b"	4	"3"	"Air Warming"	-0.0101318359375	-60	-61.01318359375	c(538011.381537863, 1101114.14523723)
2012	"CiPEHR"	"b"	4	"4"	"Control"	-0.08746337890625	-60	-68.746337890625	c(538014.718015708, 1101116.26857993)
2012	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	-0.21661376953125	-67	-88.661376953125	c(538007.465860463, 1101125.65395105)
2012	"CiPEHR"	"b"	4	"6"	"Soil Warming"	-0.2064208984375	-66	-86.64208984375	c(538009.587437515, 1101127.56577935)
2012	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	-0.28411865234375	-67.7	-96.111865234375	c(538007.857585791, 1101129.37453058)
2012	"CiPEHR"	"b"	4	"8"	"Soil Warming"	-0.183837890625	-65	-83.3837890625	c(538006.242787725, 1101128.22987825)
2012	"CiPEHR"	"c"	5	"1"	"Air Warming"	-0.02734375	-63.7	-66.434375	c(538123.833788578, 1101029.12017965)
2012	"CiPEHR"	"c"	5	"2"	"Control"	-0.0423583984375	-59	-63.23583984375	c(538121.243627226, 1101027.11613051)
2012	"CiPEHR"	"c"	5	"3"	"Air Warming"	-0.07794189453125	-57.3	-65.094189453125	c(538123.12392811, 1101025.50355211)
2012	"CiPEHR"	"c"	5	"4"	"Control"	-0.0517578125	-60.3	-65.47578125	c(538125.030967066, 1101027.84379265)
2012	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	-0.25054931640625	-64.7	-89.754931640625	c(538117.307977279, 1101039.86426493)
2012	"CiPEHR"	"c"	5	"6"	"Soil Warming"	-0.2532958984375	-65.7	-91.02958984375	c(538119.083499313, 1101041.25538645)
2012	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	-0.2066650390625	-56.3	-76.96650390625	c(538117.914903209, 1101043.33206615)
